Ticker,Volume,Volume Weighted Avg,Open,Close,High,Low,Timestamp,No. Transactions
MCK,330401.0,382.968,383.6,383.34,387.03,380.91,1669410000000,11704
MDT,4879811.0,79.144,79.32,79.12,79.72,78.75,1669410000000,41743
MRK,3163683.0,107.2019,106.56,107.5,107.5,106.56,1669410000000,31161
META,12007566.0,111.532,111.3,111.41,112.73,111.02,1669410000000,115714
MET,1196455.0,77.0692,76.89,76.95,77.36,76.81,1669410000000,15095
MTD,34695.0,1447.8538,1444.22,1449.69,1455.135,1438.27,1669410000000,2519
MGM,1779341.0,35.6696,35.81,35.73,35.92,35.455,1669410000000,19268
MCHP,1753429.0,76.0312,76.26,75.67,76.73,75.63,1669410000000,21163
MU,4360454.0,58.7237,58.67,58.41,59.13,58.39,1669410000000,48312
MSFT,9200772.0,247.6767,247.31,247.49,248.7,246.73,1669410000000,126714
MAA,176378.0,161.0742,161.67,161.46,162.54,160.36,1669410000000,5681
MRNA,1221141.0,176.5705,175.01,176.4,179.14,173.41,1669410000000,24771
MHK,110582.0,102.9505,101.58,102.91,103.52,101.58,1669410000000,3520
MOH,228163.0,327.0734,321.57,327.08,329.22,321.57,1669410000000,8912
TAP,378213.0,55.4776,55.27,55.58,55.65,55.14,1669410000000,6464
MDLZ,2212168.0,66.6445,66.67,66.69,66.82,66.485,1669410000000,21176
MPWR,213418.0,370.5651,370.43,369.28,372.5408,369.15,1669410000000,6435
MNST,867576.0,103.5444,103.89,103.37,103.95,103.3,1669410000000,13516
MCO,430382.0,300.2039,296.49,301.0,302.33,295.73,1669410000000,10630
MS,2450129.0,90.6944,89.65,90.91,91.0799,89.47,1669410000000,28244
MOS,1617919.0,51.4453,50.58,51.77,51.79,50.51,1669410000000,18253
MSI,212115.0,268.1385,267.29,268.43,268.9094,266.15,1669410000000,7201
MSCI,94693.0,511.6066,509.74,512.26,513.455,506.04,1669410000000,3670
NDAQ,605040.0,67.3144,67.13,67.15,67.61,66.74,1669410000000,9612
NTAP,486206.0,74.8052,74.62,74.66,75.19,74.25,1669410000000,10427
NFLX,3235953.0,286.2049,289.0,285.54,289.21,284.17,1669410000000,59667
NWL,1691474.0,13.3026,13.18,13.35,13.43,13.14,1669410000000,12276
NEM,2673234.0,46.0754,46.37,45.85,46.59,45.8,1669410000000,27589
NWSA,1234284.0,18.2924,18.17,18.3,18.475,18.09,1669410000000,12661
NWS,765853.0,18.5528,18.45,18.58,18.705,18.32,1669410000000,8512
NEE,3622249.0,85.3893,85.27,85.34,85.8,85.13,1669410000000,26526
NKE,3426135.0,106.1418,106.45,105.96,107.18,105.56,1669410000000,44929
NI,923800.0,27.2486,27.25,27.29,27.35,27.12,1669410000000,9946
NDSN,79790.0,235.6706,235.28,236.08,236.11,234.5809,1669410000000,3137
NSC,347481.0,253.2012,252.03,252.32,254.49,251.72,1669410000000,9700
NTRS,231056.0,94.1509,94.37,94.36,94.515,93.68,1669410000000,6040
NOC,254357.0,527.3631,526.87,527.83,529.79,522.08,1669410000000,8679
NCLH,4881409.0,16.5205,16.37,16.43,16.705,16.26,1669410000000,28173
NRG,916172.0,42.2537,42.43,42.16,42.57,42.01,1669410000000,10481
NUE,578035.0,149.2273,149.79,149.19,150.93,148.5,1669410000000,12475
NVDA,16793430.0,163.4959,163.18,162.7,164.87,161.72,1669410000000,150015
NVR,16150.0,4510.4578,4500.0,4498.76,4546.0,4472.46,1669410000000,2347
NXPI,735363.0,173.4311,174.97,172.69,175.52,172.69,1669410000000,15096
ORLY,154202.0,854.9082,850.13,855.97,858.38,848.45,1669410000000,10345
OXY,5426469.0,70.7443,71.18,70.28,71.28,70.14,1669410000000,41900
ODFL,227121.0,294.9454,294.81,293.99,297.58,293.72,1669410000000,8536
OMC,382533.0,78.9077,78.19,79.15,79.3,77.98,1669410000000,7281
ON,2005984.0,73.7238,73.8,73.4,74.61,73.37,1669410000000,24244
OKE,757238.0,65.6554,65.75,65.42,66.11,65.31,1669410000000,10832
ORCL,2754876.0,83.0158,82.85,82.72,83.485,82.535,1669410000000,29447
OGN,641399.0,24.9603,24.8,25.11,25.11,24.751,1669410000000,6920
OTIS,971086.0,78.6301,78.54,78.67,79.0175,78.22,1669410000000,10815
PCAR,673359.0,105.3747,106.06,105.03,106.2,104.94,1669410000000,11666
PKG,232066.0,133.1014,133.04,132.97,133.71,132.62,1669410000000,5236
PARA,4850346.0,19.8755,19.595,19.91,20.05,19.54,1669410000000,30985
PH,344403.0,306.9671,307.73,306.03,308.35,305.76,1669410000000,9759
PAYX,599587.0,123.1592,123.22,123.21,123.715,122.67,1669410000000,11607
PAYC,124725.0,326.5724,327.0,327.1,328.43,323.87,1669410000000,4741
PYPL,4634524.0,80.0805,80.6,80.08,80.75,79.416,1669410000000,53673
PNR,328863.0,46.124,46.05,46.19,46.26,45.8,1669410000000,5475
PEP,1836993.0,184.2841,184.58,184.11,185.0,183.94,1669410000000,23713
PKI,194353.0,136.8262,137.06,136.93,137.61,135.87,1669410000000,5744
PFE,6760162.0,49.0515,48.93,49.21,49.22,48.835,1669410000000,43194
PCG,4822568.0,15.31,15.25,15.37,15.385,15.185,1669410000000,17774
PM,1299010.0,98.1754,98.01,98.25,98.58,97.76,1669410000000,14740
PSX,1409419.0,111.0565,111.04,110.78,111.81,110.35,1669410000000,19048
PNW,341854.0,76.6025,76.4,76.5,77.13,76.395,1669410000000,5833
PXD,1078169.0,254.9067,255.4,254.14,258.06,253.28,1669410000000,24280
PNC,597492.0,167.9769,167.96,167.65,168.82,167.04,1669410000000,11253
POOL,229138.0,330.3269,332.97,328.82,334.6,327.84,1669410000000,7468
PPG,320312.0,132.9033,132.35,133.36,133.37,132.17,1669410000000,7991
PPL,1675499.0,29.2373,29.15,29.23,29.315,29.15,1669410000000,13458
PFG,626025.0,92.0768,91.99,92.47,92.485,91.64,1669410000000,12346
PG,2411113.0,146.6701,146.785,146.72,147.2,146.4,1669410000000,34320
PGR,1029864.0,131.5164,131.5,131.57,132.93,130.68,1669410000000,14289
PLD,1341334.0,115.9892,116.11,116.39,116.94,115.26,1669410000000,17263
PRU,581264.0,107.8562,107.44,107.77,108.38,107.37,1669410000000,10730
PEG,1123080.0,59.2407,59.19,59.22,59.485,59.04,1669410000000,11682
PTC,349801.0,124.2573,124.0,124.63,124.89,122.71,1669410000000,8151
PSA,394028.0,298.4996,299.66,298.61,302.72,296.5,1669410000000,9376
PHM,987982.0,44.428,44.27,44.52,44.58,44.2,1669410000000,11079
QRVO,371005.0,96.578,97.3,95.94,97.7,95.93,1669410000000,8085
PWR,271728.0,148.3723,146.93,148.52,149.19,146.47,1669410000000,7217
QCOM,3153811.0,124.2696,124.86,123.45,125.36,123.4,1669410000000,43964
DGX,459112.0,148.5132,148.88,149.06,149.6962,147.59,1669410000000,10527
RL,759941.0,109.3375,107.27,109.47,110.33,107.26,1669410000000,13026
RJF,632892.0,120.1357,119.92,119.56,120.8,119.18,1669410000000,11511
RTX,1313249.0,97.5036,97.345,97.47,97.8,97.18,1669410000000,18324
O,1691198.0,64.7576,64.81,64.85,64.96,64.53,1669410000000,24588
